City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
360,Mahibadhoo,100,MV,1604261831,74,3.78,72.97,82.22,6.71
361,Bahía Blanca,0,AR,1604261681,18,-38.72,-62.27,81.34,3.83
362,Kosa,0,RU,1604261831,97,59.94,55.0,26.53,3.91
363,Yangi Marg`ilon,100,UZ,1604261573,34,40.43,71.72,48.2,6.93
364,Mahon,20,ES,1604261408,87,39.89,4.27,60.8,5.82
365,St. George's,75,GD,1604261832,94,12.06,-61.75,77.0,16.11
366,Chara,4,RU,1604261832,80,56.91,118.26,-8.91,0.76
367,Sola,14,VU,1604261832,81,-13.88,167.55,80.82,17.94
368,Pevek,100,RU,1604261419,90,69.7,170.31,15.64,14.29
369,Asău,0,RO,1604261400,97,46.43,26.4,37.0,5.01
370,Ferkessédougou,1,CI,1604261832,42,9.6,-5.2,81.52,2.62
